ID_Estudiante,Universidad,Indice_Coherencia,Sentimiento_Academico,Longitud_Caracteres_Cuali,Items_Cuali_Vacios_o_Breves,Es_Flatliner,Etiquetas_Tematicas,Sintesis_Analisis_Cuali
STU_0056,UNI,0.3,0.5,168,0,False,"Alfabetización Mediática, Habilidades Críticas, Habilidades Técnicas","El estudiante presenta una coherencia limitada en la encuesta de Alfabetización Mediática. Si bien los puntajes cuantitativos en 'Crítico' y 'Técnico' sugieren un nivel intermedio de habilidad (3.8), ..."
STU_0070,UNMSM,0.5,0.5,168,0,True,nan,"El estudiante presenta una puntuación media en las dimensiones Crítico, Técnico y Participativo, sugiriendo un nivel intermedio de alfabetización mediática. Sin embargo, la ausencia total de respuesta..."
STU_0079,UNI,0.1,0.1,89,0,False,"incomprensión, frustración, falta de especificidad","La coherencia de este estudiante es muy baja. Los datos cuantitativos muestran un puntaje promedio bajo en 'Crítico' y 'Técnico', y un riesgo 'ALTO', lo que sugiere dificultades significativas en esta..."
STU_0096,UNMSM,0.5,0.5,168,0,False,"Alfabetización Mediática, Habilidades Digitales, Evaluación de Competencias","El estudiante presenta una coherencia ambivalente. Los puntajes cuantitativos indican un nivel de competencia moderado-alto en las áreas Crítica, Técnica y Participativa, con un bajo riesgo percibido...."
STU_0098,UNMSM,0.4,0.5,168,0,False,"Participación en Medios, Desafíos Técnicos, Análisis Crítico","La coherencia de este estudiante es baja. Aunque los puntajes cuantitativos muestran una inclinación hacia la participación (3.8), los puntajes en ""Crítico"" y ""Técnico"" son moderados (2.9). La complet..."
STU_0104,UNMSM,0.4,0.5,168,0,False,"Alfabetización Mediática, Habilidades Digitales, Evaluación de Competencias","La coherencia de este estudiante es baja. Si bien los puntajes cuantitativos indican un nivel intermedio a alto en habilidades técnicas y participativas, y un nivel moderado en pensamiento crítico, la..."
STU_0130,UNI,0.5,0.5,168,0,False,"N/A, N/A, N/A","La coherencia del estudiante es ambivalente. Los puntajes cuantitativos en las dimensiones Crítico, Técnico y Participativo se sitúan en un nivel intermedio (alrededor de 3.0-3.3), lo que sugiere una ..."
STU_0131,UNI,0.3,0.5,168,0,False,nan,"La coherencia de este estudiante es baja. Los datos cuantitativos muestran puntuaciones moderadas en las dimensiones Crítica y Participativa, y ligeramente por debajo en la Técnica, con una percepción..."
STU_0139,UNI,0.5,0.6,573,0,False,"veracidad de la información, confianza en IA, facilidad tecnológica","El estudiante muestra una coherencia ambivalente. Si bien su puntaje 'Crítico' (2.67) es moderado, indicando una necesidad de mejorar la verificación de información (BC1: ""asegurarse que la infomacion..."
STU_0140,UNI,0.4,0.3,211,4,False,"Verificación de fuentes, Uso de IA, Material de estudio","La coherencia del estudiante es moderada-baja. Los puntajes cuantitativos, aunque no son extremadamente bajos, sugieren un nivel de habilidad en las dimensiones de AMI que va desde un 2.6 a 2.8, indic..."
STU_0147,UNI,0.4,0.6,234,1,False,"Dependencia tecnológica, Acceso a información digital, Participación en línea","El estudiante presenta una coherencia moderada y algo ambivalente. Aunque sus puntuaciones cuantitativas generales (Critico, Técnico, Participativo) son bajas (promedio de 2.4), indicando un nivel bás..."
STU_0160,UNI,0.4,0.6,350,2,False,"Búsqueda de Referencias, Formación Educativa, Experiencia Académica y Personal","La coherencia del estudiante es moderadamente baja. Aunque algunos comentarios cualitativos sugieren un impacto positivo en la formación académica (BP1, BT1) y una apertura internacional (BP4), los pu..."
STU_0177,UNI,0.4,0.5,257,1,False,"Neutralidad informacional, Verificación de fuentes, Autopercepción tecnológica","El estudiante muestra una coherencia moderada-baja. Los puntajes cuantitativos, especialmente en la dimensión Participativa (2.4) y Técnica (2.6), sugieren un nivel intermedio de habilidades y comprom..."
STU_0178,UNI,0.4,0.3,316,1,True,"Resistencia a la tecnología, Búsqueda de información, Baja participación digital","El estudiante presenta una coherencia moderada con una tendencia a la baja. Los scores cuantitativos (3.0 en las tres dimensiones) sugieren un nivel intermedio de alfabetización mediática, pero las re..."
STU_0215,UNI,0.55,0.6,179,4,False,"Búsqueda de información académica, Confiabilidad de fuentes, Interacción social digital","El estudiante presenta un índice de coherencia moderado, con un sentimiento académico ligeramente positivo. En el ámbito académico, su respuesta 'usar buscadores académicos' y 'las fuentes son confiab..."
STU_0220,UNI,0.55,0.6,429,0,True,"Adaptación Universitaria, Experiencia Tecnológica Mixta, Búsqueda de Información Académica","El estudiante muestra un sentimiento académico moderadamente positivo, reconociendo beneficios en la adaptación universitaria y la interacción social. Sin embargo, los puntajes cuantitativos bajos en ..."
STU_0300,UNMSM,0.3,0.3,224,2,False,"Análisis crítico limitado, Uso instrumental de la tecnología, Baja participación virtual","La coherencia del estudiante es baja. Los datos cuantitativos, con scores moderados en 'Crítico' y 'Técnico', contrastan con las respuestas cualitativas que revelan una falta de interés en el análisis..."
STU_0307,UNMSM,0.4,0.2,266,1,False,"Verificación de autores, Confianza en fuentes, Dificultades técnicas y de participación","El estudiante muestra un sentimiento académico mayormente negativo, evidenciado por su bajo puntaje en ""Critico"" y la frustración expresada en las respuestas abiertas sobre la falta de compromiso, aco..."
STU_0310,UNMSM,0.4,0.3,277,1,False,"Dificultades de acceso y uso, Percepción de carga y tiempo, Desmotivación y estrés","El estudiante muestra un sentimiento académico predominantemente negativo, expresando estrés, dejadez y frustración con el acceso a los materiales. A pesar de obtener puntuaciones cuantitativas modera..."
STU_0311,UNMSM,0.55,0.6,180,1,False,"Verificación de fuentes, Preferencias de aprendizaje, Experiencia general","El estudiante muestra una coherencia moderada. Sus respuestas cualitativas sugieren una comprensión básica de la verificación de fuentes (BC2) y una preferencia por el aprendizaje presencial (BP4), lo..."
STU_0317,UNMSM,0.4,0.4,610,0,False,"Análisis Crítico, Uso de Herramientas Digitales, Participación Virtual","El estudiante muestra una coherencia moderada, con algunas contradicciones y ambivalencias. Su score crítico bajo (2.55) contrasta con su respuesta BC4 que indica sentirse seguro al revisar fuentes ac..."
STU_0352,UNMSM,0.55,0.4,346,0,False,"Aprendizaje Virtual vs. Presencial, Acceso a Tecnología e Internet, Uso de IA","El estudiante muestra un sentimiento académico mixto, con una marcada tendencia a la participación (3.7) y una percepción de utilidad en las herramientas tecnológicas (BT2, BP1), lo que sugiere una ap..."
STU_0388,UNMSM,0.4,0.6,483,2,False,"Dependencia de LLMs, Confianza en la virtualidad, Percepción de facilidad tecnológica","El estudiante muestra una coherencia moderada a baja. Si bien sus respuestas cualitativas sugieren una alta dependencia y confianza en los LLMs (BC1, BC2, BC3, BT2, BP1), sus puntuaciones cuantitativa..."
STU_0389,UNMSM,0.4,0.6,352,0,False,"Dificultades técnicas, Aprendizaje en línea, Participación estudiantil","El estudiante muestra un sentimiento académico moderadamente positivo, aunque con matices. Los puntajes cuantitativos en las dimensiones Crítica, Técnica y Participativa son bajos (alrededor de 2.3), ..."
STU_0446,UNMSM,0.4,0.3,302,0,False,"Aprendizaje autodirigido, Colaboración académica, Evaluación","El estudiante muestra un sentimiento académico predominantemente negativo o de baja motivación, lo cual se refleja en sus respuestas abiertas y en los puntajes cuantitativos, especialmente en las dime..."
STU_0455,UNMSM,0.4,0.3,565,1,False,"Análisis crítico, Confianza en la IA, Participación digital","El estudiante muestra una coherencia moderada. Los bajos puntajes en 'Critico' y 'Participativo' se reflejan en sus respuestas cualitativas, donde expresa falta de análisis y nula participación. Sin e..."
STU_0516,UNMSM,0.4,0.3,692,0,False,"Inseguridad digital, Criterio de evaluación de fuentes, Limitaciones de participación virtual","La coherencia del estudiante es moderada-baja. Si bien sus puntuaciones en 'Crítico' y 'Participativo' son moderadas (3.375 y 3.3), sus respuestas abiertas revelan inseguridades significativas ('No sé..."
STU_0519,UNMSM,0.4,0.3,447,1,False,"Autopercepción de conocimiento, Preferencias de aprendizaje, Actitud hacia la tecnología","El estudiante muestra una coherencia moderada, con algunos aspectos que sugieren ambivalencia. Si bien los puntajes cuantitativos en ""Crítico"" y ""Técnico"" son moderados-altos (3.22 y 3.125 respectivam..."
STU_0526,UNMSM,0.4,0.3,680,0,False,"Desmotivación académica virtual, Evaluación de fuentes, Desafíos tecnológicos","El estudiante presenta una coherencia moderadamente baja. Si bien sus respuestas abiertas sugieren una conciencia sobre la verificación de fuentes (BC2) y los desafíos tecnológicos (BC3, BT4), su punt..."
STU_0579,UNMSM,0.4,0.6,588,0,False,"Autoevaluación de habilidades digitales, Percepción de herramientas tecnológicas, Impacto de la tecnología en la interacción social","El estudiante muestra un sentimiento académico moderadamente positivo, especialmente al mencionar la seguridad ganada en trabajos académicos reales y la utilidad de las herramientas digitales. Sin emb..."
STU_0660,UNI,0.55,0.6,280,0,False,"Verificación de información, Impacto de la IA, Mejora de habilidades","El estudiante presenta un sentimiento académico moderadamente positivo, reconociendo la mejora de sus capacidades y estudios, aunque con algunas respuestas evasivas. La coherencia entre los datos cuan..."
STU_0726,UNMSM,0.4,0.3,290,0,False,"Aprendizaje por errores, Motivación y rendimiento académico, Apoyo social en el aprendizaje","El estudiante muestra una coherencia moderada a baja. Los puntajes cuantitativos, que oscilan entre 2.3 y 2.5 (nivel bajo-medio), sugieren dificultades o un progreso limitado en las áreas de Alfabetiz..."
STU_0730,UNMSM,0.5,0.4,258,0,False,"Verificación de fuentes, Hábitos de estudio, Participación grupal","El estudiante muestra una coherencia ambivalente (0.5). Los puntajes cuantitativos se encuentran en un nivel intermedio (2.4-2.6), lo que sugiere un conocimiento y una práctica moderados en alfabetiza..."
STU_0751,UNI,0.55,0.4,414,0,False,"Hábitos de estudio, Autonomía en el aprendizaje, Desempeño académico","El estudiante muestra un sentimiento académico mixto, con algunas expresiones de esfuerzo y autonomía (BC2, BP2) contrastando con la percepción de rezago y dificultades (BP3, BT2, BT4). Los scores cua..."
